Legendos
Miestas
Diego Maradona;Puolėjas;92;95;97;55;96;88;94;91
Pelé;Puolėjas;100;85;99;60;95;86;92;90
Zinedine Zidane;Saugas;95;90;88;65;92;78;96;89
Ronaldinho;Krašto puolėjas;90;95;92;55;90;90;93;88
Paolo Maldini;Gynėjas;115;60;80;98;88;70;90;84
Johan Cruyff;Saugas;93;88;89;62;91;84;95;87
Franz Beckenbauer;Gynėjas;110;70;82;95;89;75;93;86
George Best;Krašto puolėjas;88;80;90;48;85;92;91;84
Roberto Carlos;Gynėjas;105;65;84;88;87;90;88;82
Xavi Hernández;Saugas;90;85;78;60;84;76;95;86
Andrea Pirlo;Saugas;92;88;82;62;86;72;96;87
Lev Yashin;Vartininkas;125;70;65;100;90;58;88;83
